t_ms,V_mV,n,h,alpha,volL_L,PAO2_mmHg,PaO2_mmHg,gtonic_nS,SaO2_pct
1.02152765e+02,-6.05265673e+01,3.77447555e-04,7.47554926e-01,1.81211238e-04,2.04752579e+00,9.87035835e+01,9.73439702e+01,8.62044933e-02,9.64442038e+01
1.06620637e+02,-6.05237707e+01,3.77710701e-04,7.47656239e-01,1.80419942e-04,2.04731924e+00,9.86914067e+01,9.73256191e+01,8.62766190e-02,9.64425870e+01
1.11088509e+02,-6.05209036e+01,3.77980935e-04,7.47757429e-01,1.79632183e-04,2.04711358e+00,9.86791753e+01,9.73073558e+01,8.63484466e-02,9.64409770e+01
1.16088509e+02,-6.05176423e+01,3.78288777e-04,7.47870522e-01,1.78754776e-04,2.04688448e+00,9.86654240e+01,9.72870190e+01,8.64284840e-02,9.64391830e+01
1.21088509e+02,-6.05143478e+01,3.78600158e-04,7.47983458e-01,1.77881757e-04,2.04665649e+00,9.86516077e+01,9.72667869e+01,8.65081664e-02,9.64373970e+01
1.26088509e+02,-6.05110354e+01,3.78913580e-04,7.48096237e-01,1.77013104e-04,2.04642960e+00,9.86377282e+01,9.72466571e+01,8.65875032e-02,9.64356188e+01
1.31088509e+02,-6.05077152e+01,3.79228069e-04,7.48208859e-01,1.76148796e-04,2.04620380e+00,9.86237869e+01,9.72266269e+01,8.66665035e-02,9.64338482e+01
1.36088509e+02,-6.05043935e+01,3.79542994e-04,7.48321323e-01,1.75288811e-04,2.04597909e+00,9.86097855e+01,9.72066939e+01,8.67451763e-02,9.64320850e+01
1.41088509e+02,-6.05010745e+01,3.79857951e-04,7.48433630e-01,1.74433128e-04,2.04575548e+00,9.85957255e+01,9.71868557e+01,8.68235304e-02,9.64303290e+01
1.46088509e+02,-6.04977608e+01,3.80172682e-04,7.48545780e-01,1.73581725e-04,2.04553294e+00,9.85816086e+01,9.71671099e+01,8.69015741e-02,9.64285800e+01
1.51088509e+02,-6.04944540e+01,3.80487027e-04,7.48657773e-01,1.72734580e-04,2.04531148e+00,9.85674361e+01,9.71474542e+01,8.69793157e-02,9.64268378e+01
1.56088509e+02,-6.04911550e+01,3.80800888e-04,7.48769610e-01,1.71891673e-04,2.04509109e+00,9.85532094e+01,9.71278865e+01,8.70567633e-02,9.64251022e+01
1.61088509e+02,-6.04878645e+01,3.81114209e-04,7.48881291e-01,1.71052982e-04,2.04487176e+00,9.85389301e+01,9.71084046e+01,8.71339248e-02,9.64233731e+01
1.66088509e+02,-6.04845827e+01,3.81426961e-04,7.48992817e-01,1.70218487e-04,2.04465350e+00,9.85245994e+01,9.70890063e+01,8.72108077e-02,9.64216502e+01
1.71088509e+02,-6.04813096e+01,3.81739133e-04,7.49104187e-01,1.69388166e-04,2.04443630e+00,9.85102186e+01,9.70696897e+01,8.72874196e-02,9.64199335e+01
1.76088509e+02,-6.04780453e+01,3.82050725e-04,7.49215402e-01,1.68561998e-04,2.04422015e+00,9.84957892e+01,9.70504526e+01,8.73637678e-02,9.64182227e+01
1.81088509e+02,-6.04747896e+01,3.82361744e-04,7.49326463e-01,1.67739963e-04,2.04400504e+00,9.84813123e+01,9.70312933e+01,8.74398593e-02,9.64165177e+01
1.86088509e+02,-6.04715425e+01,3.82672202e-04,7.49437370e-01,1.66922040e-04,2.04379098e+00,9.84667892e+01,9.70122097e+01,8.75157010e-02,9.64148183e+01
